2023-07-26 22:11:25.783 | WARNING  | __main__:<module>:547 - 开启撸片之旅
2023-07-26 22:11:34.723 | WARNING  | __main__:startDownLoad:355 - 后台线程去执行下载
2023-07-26 22:11:34.724 | WARNING  | vediodownloadprocesser:init:55 - ------初始化系统配置：start-----------
2023-07-26 22:11:34.728 | WARNING  | __main__:setPercentV:393 - 当前进度1
2023-07-26 22:11:34.735 | WARNING  | vediodownloadprocesser:init:72 - ------初始化系统配置：end-----------
2023-07-26 22:11:34.736 | WARNING  | vediodownloadprocesser:downLoadStart:388 - 需要解析含有的视频信息
2023-07-26 22:11:34.736 | WARNING  | vediodownloadprocesser:parseSubUrls:262 - 需要预解析URL：https://51cg1.com/archives/61201/
2023-07-26 22:11:39.728 | WARNING  | __main__:setPercentV:393 - 当前进度1
2023-07-26 22:11:40.874 | WARNING  | vediodownloadprocesser:parseSubUrls:310 - 预解析结束
2023-07-26 22:11:40.875 | WARNING  | vediodownloadprocesser:downLoadStart:394 - the url:https://51cg1.com/archives/61201/，共含m3u8文件1, mp4的文件个数0
2023-07-26 22:11:44.133 | WARNING  | vediodownloadprocesser:tsDownload1By1:326 - m3u8文件的保存路径： E:\sourcecode\vediodownloader\dist\download\20230726_221134\site.m3u8
2023-07-26 22:11:44.135 | WARNING  | vediodownloadprocesser:tsDownload1By1:342 - Decode Method：
2023-07-26 22:11:44.728 | WARNING  | __main__:setPercentV:393 - 当前进度1
2023-07-26 22:11:46.762 | WARNING  | vediodownloadprocesser:tsDownload1By1:352 - ts文件的加密 key:b'\xfe\xc4\x83\xe7\xbe\x151B\x0cp\xd2\x9a\x10\x97\xac\xbb'
2023-07-26 22:11:46.763 | WARNING  | vediodownloadprocesser:tsDownload1By1:363 - ts文件的URL解析完成
2023-07-26 22:11:46.763 | WARNING  | vediodownloadprocesser:downloadTsFiles:187 - 一共待下载的ts文件数：117
2023-07-26 22:11:49.742 | WARNING  | __main__:setPercentV:393 - 当前进度1
2023-07-26 22:11:54.756 | WARNING  | __main__:setPercentV:393 - 当前进度3
2023-07-26 22:11:59.763 | WARNING  | __main__:setPercentV:393 - 当前进度11
2023-07-26 22:12:04.773 | WARNING  | __main__:setPercentV:393 - 当前进度12
2023-07-26 22:12:09.778 | WARNING  | __main__:setPercentV:393 - 当前进度12
2023-07-26 22:12:14.793 | WARNING  | __main__:setPercentV:393 - 当前进度12
2023-07-26 22:12:19.804 | WARNING  | __main__:setPercentV:393 - 当前进度17
2023-07-26 22:12:24.817 | WARNING  | __main__:setPercentV:393 - 当前进度20
2023-07-26 22:12:29.872 | WARNING  | __main__:setPercentV:393 - 当前进度20
2023-07-26 22:12:34.846 | WARNING  | __main__:setPercentV:393 - 当前进度20
2023-07-26 22:12:39.905 | WARNING  | __main__:setPercentV:393 - 当前进度20
2023-07-26 22:12:44.856 | WARNING  | __main__:setPercentV:393 - 当前进度21
2023-07-26 22:12:49.915 | WARNING  | __main__:setPercentV:393 - 当前进度21
2023-07-26 22:12:54.865 | WARNING  | __main__:setPercentV:393 - 当前进度21
2023-07-26 22:12:59.893 | WARNING  | __main__:setPercentV:393 - 当前进度24
2023-07-26 22:13:04.890 | WARNING  | __main__:setPercentV:393 - 当前进度29
2023-07-26 22:13:09.908 | WARNING  | __main__:setPercentV:393 - 当前进度32
2023-07-26 22:13:14.920 | WARNING  | __main__:setPercentV:393 - 当前进度36
2023-07-26 22:13:19.928 | WARNING  | __main__:setPercentV:393 - 当前进度40
